school,major,degree,post_grad_earnings
American Institute-West Hartford,Computer/Information Technology Administration and Management.,Undergraduate Certificate or Diploma,31678.0
Lincoln Technical Institute-New Britain,Computer Systems Networking and Telecommunications.,Associate's Degree,41477.0
Lincoln Technical Institute-New Britain,Electrical/Electronics Maintenance and Repair Technology.,Associate's Degree,46461.0
University of New Haven,Security Science and Technology.,Undergraduate Certificate or Diploma,75772.0
University of New Haven,Security Science and Technology.,Bachelor's Degree,63184.0
University of New Haven,Security Science and Technology.,Master's Degree,65802.0
Porter & Chester Institute,Computer Systems Networking and Telecommunications.,Undergraduate Certificate or Diploma,51208.0
Porter & Chester Institute,Electrical/Electronics Maintenance and Repair Technology.,Undergraduate Certificate or Diploma,50269.0
Porter & Chester Institute,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,56898.0
Quinnipiac University,Information Science/Studies.,Bachelor's Degree,93312.0
Quinnipiac University,Computer Software and Media Applications.,Bachelor's Degree,84242.0
Sacred Heart University,"Computer and Information Sciences, General.",Bachelor's Degree,92216.0
Southern Connecticut State University,"Computer and Information Sciences, General.",Bachelor's Degree,78251.0
Western Connecticut State University,Management Information Systems and Services.,Bachelor's Degree,80013.0
Yale University,"Computer and Information Sciences, General.",Bachelor's Degree,271466.0
Delaware Technical Community College-Terry,"Computer and Information Sciences, General.",Associate's Degree,53853.0
Delaware Technical Community College-Terry,Computer/Information Technology Administration and Management.,Associate's Degree,54029.0
University of Delaware,"Computer and Information Sciences, General.",Bachelor's Degree,111532.0
University of Delaware,Management Information Systems and Services.,Bachelor's Degree,107566.0
Wilmington University,Computer Software and Media Applications.,Bachelor's Degree,47214.0
Wilmington University,Computer/Information Technology Administration and Management.,Bachelor's Degree,98225.0
Wilmington University,Management Information Systems and Services.,Bachelor's Degree,78495.0
Wilmington University,Management Information Systems and Services.,Master's Degree,84829.0
University of the District of Columbia,"Computer and Information Sciences, General.",Bachelor's Degree,84616.0
George Washington University,"Computer and Information Sciences, General.",Bachelor's Degree,140173.0
George Washington University,Information Science/Studies.,Master's Degree,129307.0
George Washington University,Computer Science.,Bachelor's Degree,124419.0
George Washington University,Security Science and Technology.,Master's Degree,96800.0
Georgetown University,Computer Science.,Bachelor's Degree,162419.0
Georgetown University,Computer/Information Technology Administration and Management.,Master's Degree,142699.0
Georgetown University,Biotechnology.,Master's Degree,106482.0
Georgetown University,"Science, Technology and Society.",Bachelor's Degree,115200.0
Georgetown University,"Science, Technology and Society.",Master's Degree,98956.0
Georgetown University,Management Information Systems and Services.,Bachelor's Degree,135935.0
Howard University,Computer Systems Analysis.,Bachelor's Degree,118399.0
Howard University,Management Information Systems and Services.,Bachelor's Degree,86580.0
Strayer University-District of Columbia,"Computer and Information Sciences, General.",Bachelor's Degree,83581.0
Strayer University-District of Columbia,Information Science/Studies.,Bachelor's Degree,87437.0
Strayer University-District of Columbia,Information Science/Studies.,Master's Degree,94667.0
Strayer University-District of Columbia,Computer/Information Technology Administration and Management.,Associate's Degree,58656.0
Barry University,"Computer and Information Sciences, General.",Bachelor's Degree,61668.0
Bethune-Cookman University,Information Science/Studies.,Bachelor's Degree,43805.0
Eastern Florida State College,"Computer and Information Sciences, General.",Associate's Degree,43767.0
Broward College,"Computer and Information Sciences, General.",Bachelor's Degree,71656.0
Broward College,Computer Software and Media Applications.,Associate's Degree,32967.0
College of Central Florida,"Computer and Information Sciences, General.",Associate's Degree,37771.0
University of Central Florida,"Computer and Information Sciences, General.",Bachelor's Degree,89759.0
University of Central Florida,Computer Engineering.,Bachelor's Degree,99037.0
Daytona State College,"Computer and Information Sciences, General.",Associate's Degree,42857.0
Daytona State College,"Computer and Information Sciences, General.",Bachelor's Degree,87295.0
Daytona State College,Computer/Information Technology Administration and Management.,Associate's Degree,48381.0
Daytona State College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,46681.0
Florida SouthWestern State College,Computer Systems Networking and Telecommunications.,Associate's Degree,62324.0
Embry-Riddle Aeronautical University-Daytona Beach,Computer Engineering.,Bachelor's Degree,94762.0
Florida Agricultural and Mechanical University,"Computer and Information Sciences, General.",Bachelor's Degree,66418.0
Florida Atlantic University,"Computer and Information Sciences, General.",Bachelor's Degree,87918.0
Florida Atlantic University,Computer Engineering.,Bachelor's Degree,96084.0
Florida Atlantic University,Management Information Systems and Services.,Bachelor's Degree,74519.0
Florida State College at Jacksonville,"Computer and Information Sciences, General.",Associate's Degree,56676.0
Florida State College at Jacksonville,Computer Systems Networking and Telecommunications.,Bachelor's Degree,70575.0
Florida State College at Jacksonville,Computer/Information Technology Administration and Management.,Associate's Degree,61138.0
Florida State College at Jacksonville,Computer/Information Technology Administration and Management.,Bachelor's Degree,71413.0
Florida State College at Jacksonville,"Engineering Technology, General.",Associate's Degree,56686.0
Florida Institute of Technology,Information Science/Studies.,Bachelor's Degree,104378.0
Florida Institute of Technology,Information Science/Studies.,Master's Degree,111846.0
Florida Institute of Technology,Computer Science.,Bachelor's Degree,118106.0
Florida Institute of Technology,Computer Engineering.,Bachelor's Degree,100548.0
Florida Institute of Technology,Management Information Systems and Services.,Master's Degree,86838.0
Florida International University,"Computer and Information Sciences, General.",Bachelor's Degree,89221.0
Florida International University,"Computer and Information Sciences, General.",Master's Degree,110679.0
Florida International University,Computer Systems Analysis.,Master's Degree,128418.0
Florida International University,Computer Engineering.,Bachelor's Degree,103462.0
Florida International University,Management Information Systems and Services.,Bachelor's Degree,77468.0
Florida International University,Management Information Systems and Services.,Master's Degree,98058.0
Florida Career College-Miami,"Computer and Information Sciences, General.",Undergraduate Certificate or Diploma,31886.0
Florida Career College-Miami,"Computer and Information Sciences, General.",Associate's Degree,37126.0
Florida Career College-Miami,Computer Engineering Technologies/Technicians.,Undergraduate Certificate or Diploma,32650.0
Florida Career College-Miami,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,36682.0
Florida State University,"Computer and Information Sciences, General.",Bachelor's Degree,87830.0
Florida State University,Computer Engineering.,Bachelor's Degree,102516.0
Florida State University,Management Information Systems and Services.,Bachelor's Degree,95233.0
University of Florida,Food Science and Technology.,Bachelor's Degree,73595.0
University of Florida,Food Science and Technology.,Master's Degree,77336.0
University of Florida,"Computer and Information Sciences, General.",Bachelor's Degree,128097.0
University of Florida,Computer Systems Analysis.,Master's Degree,118505.0
University of Florida,Computer Engineering.,Bachelor's Degree,114942.0
University of Florida,Computer Engineering.,Master's Degree,134558.0
Full Sail University,Computer Programming.,Bachelor's Degree,81925.0
Full Sail University,Computer Software and Media Applications.,Bachelor's Degree,51455.0
Full Sail University,Computer Software and Media Applications.,Master's Degree,84207.0
